69T,"DANIEL, Chloe",A17 / 14 ,FORTUNE ,Southern CA ,USA ,3 
69T,"LIN, Jessica",A17 / 46 ,MEDEO F.C. ,New Jersey ,USA ,3 
71,"WALLACE, Katherine",C17 ,FENCERS / NOTREDAME ,Indiana ,USA ,3 
72,"MARTUS, Cosima",A17 / 58 ,,Colorado ,USA ,3 
73T,"LEE, jiyoung",B17 ,LAIFC ,Southern CA ,KOR ,2 
73T,"LIU, Linda",A17 ,,,CAN ,2 
75,"LEIGHTON, Eleanor",A17 ,E.D.L. ,Indiana ,USA ,2 
76,"RIGAZZI, Ottavia",B17 ,BAY STATE ,,,2 
77,"DORVAL, Anne-Marie",B17 ,,,CAN ,2 
78,"VERMEULE, Emily",A17 / 65 ,OLYMPIA F. C. ,New England ,USA ,2 
79,"LURYE, Sarah",A17 / 87 ,WCFA ,Illinois ,USA ,2 
80,"TONG, Amy",A15 ,COLUMBF ,New Jersey ,USA ,2 
81,"ANGEN, Katie",A15 / 31 ,NYAC / COLUMBF ,Metro NYC ,USA ,2 
82,"VIE, Natalie",A17 / 7 ,NYAC / LAIFC ,Arizona ,USA ,2 
83,"LANZMAN, Anna",B17 / 52 ,NYFA ,Metro NYC ,USA ,2 
84,"BUECHEL, Holly",A17 / 25 ,NYAC ,Metro NYC ,USA ,2 
85,"KHAMIS, Yasmine",B17 ,NTFA ,North TX ,USA ,2 
86,"THOW, Jessica",A17 ,ALLIANCE F.A. ,Gulf Coast ,USA ,2 
87,"ENO, Megan",A17 / 18 ,NWFC ,Oregon ,USA ,2 
88,"GILL, Kaitlyn",B17 ,FAW ,New Jersey ,USA ,2 
89,"NIXON, Caroline (Karolina)",A17 / 23 ,LAIFC ,Southern CA ,USA ,2 
90,"ZHENG, Evelyn",A16 ,,,CAN ,2 
91,"JOYCE, Michaela",B17 ,LIFC ,Virginia ,USA ,2 
92,"NAVARRO, Ava",B17 ,FENCERS / TIGERZ ,Metro NYC ,USA ,2 
